Name,Technologies
Mifos Initiative,"['java', 'android', 'angularjs', 'spring', 'mysql']"
MIT App Inventor,"['java', 'javascipt', 'app', 'google app engine', 'gwt']"
Mixxx DJ Software,"['qt', 'c++', 'c++11', 'midi', 'hid']"
mlpack,['c++']
Mobile Robot Programming Toolkit (MRPT),"['qt', 'c++', 'opengl', 'wxwidgets', 'ros']"
Mono Project,"['c#', '.net', 'f#', 'c']"
Moodle,"['php', 'jquery', 'mysql', 'postgresql', ' javascript']"
MovingBlocks,"['java', 'opengl', 'blender', 'json', 'gradle']"
Mozilla,"['js', 'rust', 'html/css', 'c++', 'python']"
MuseScore,"['c++11', 'qt5', 'qt', 'breakpad']"
National Resource for Network Biology (NRNB),"['java', ' javascript', 'python', 'php', 'c++']"
Netfilter project,"['linux', 'kernel', 'c']"
Nmap Security Scanner,"['c/c++', 'lua', 'python', 'c', 'c++']"
NumFOCUS,"['python', 'javascript', 'r', 'c/c++']"
Open Bioinformatics Foundation,"[' python', 'perl', 'java', 'c++', 'c/c++']"
Open Chemistry,"['python', 'c++', 'opengl', 'javascript', 'java']"
Open Data Kit,"['android', 'java', 'python', 'javascript', 'ruby']"
Open Detection,"['c++', 'caffe', 'pcl', 'opencv']"
Open Genome Informatics,"['python', 'java', 'javascript', 'nodejs', 'gwt']"
Open States,"['python', 'django', 'javascript', 'postgresql']"
Open Technologies Alliance - GFOSS,"[' php', ' java', ' mysql', ' virtuoso', 'python']"
OpenAstronomy,"['python', 'julia', 'qt']"
OpenCV,"['vision', ' deep learning', ' c++', ' python']"
OpenMRS,"['java', 'javascript', 'html/css', 'hibernate', 'mysql']"
OpenStreetMap,"['postgis', ' java', ' ruby', ' javascript']"
openSUSE,"['ruby on rails', 'javascript ', 'docker', 'linux', 'angular.js']"
OpenWISP,"['python', 'django', 'javascript', 'openwrt', 'raspberry pi']"
Oppia Foundation,"['python', 'google app engine', 'angularjs', 'javascript', 'css']"
OSGeo,"['c++', ' python', ' c', ' sql', 'java']"
oVirt,"['java', ' python', 'kvm']"
ownCloud,"['php', 'qt', ' android', 'ios', 'javascript']"
P2PSP.org,"['c++', 'python', 'qt', 'sockets', 'webrtc']"
PEcAn Project,"['r', ' php', 'postgresql', 'javascript ', 'c']"
Performance Co-Pilot,"['python', 'javascript', 'c', 'linux', 'windows']"
Pharo Consortium,"['smalltalk', 'roassal', 'polymath', 'pharo']"
phpBB Forum Software,"['php ', 'mysql', 'javascript', 'symfony', 'css']"
phpMyAdmin,"['php', 'mysql', 'jquery', 'javascript', 'cakephp']"
Physical Web Project,"['beacon', 'web bluetooth', 'physical web', 'bluetooth']"
Plone Foundation,"['python', ' javascript', 'html/css']"
PMD,"['java', 'javacc', 'xml', 'antlr', 'xpath']"
Polly Labs,"['llvm', 'integer set library', 'ppcg', 'pencil', 'polly']"
Portland State University,"['open hardware', 'language-agnostic']"
PostgreSQL,"['postgresql', 'c', 'perl', 'sql']"
Public Lab,"[' javascript', ' ruby', 'ruby on rails']"
Python Software Foundation,['python']
QEMU,"['c', 'python']"
Qubes OS,"['c', 'python', 'shell', 'xen', 'linux']"
R project for statistical computing,"['r-project', 'c', 'c++', 'fortran', 'javascript']"
radare2,"['c', 'rust', 'python', 'nodejs']"
ReactOS,"['c', 'c++']"
Red Hen Lab,"['high performance computing', 'machine learning', 'opencv', 'audio processing', 'multimodal analysis']"
RoboComp,"['c++', 'cmake', 'python', 'openscenegraph', 'qt']"
Rocket.Chat,"['javascript', 'meteor.js', 'mongo', 'webrtc']"
Rspamd,"['c', 'lua', 'cmake']"
RTEMS Project,"['c', 'python', 'posix']"
Ruby on Rails,"['html', 'ruby on rails', 'ruby']"
Ruby Science Foundation,"[' ruby', 'science', 'web', 'data', 'gpu']"
Sage Mathematical Software System,"['python', 'cython', 'c++', 'c']"
Samba,"['c', 'python']"
Scala,"['scala', 'jvm']"
Scilab,"['c++', 'java', 'python', 'c', 'opengl']"
ScummVM,"['c++', 'sdl', 'opengl', 'assembly']"
Shogun Machine Learning Toolbox,"['c/c++', 'python', 'swig', 'machine learning', 'cmake']"
